player_id,player_name,nationality,position,club,age,date_of_birth,foot,contract_expiration_date,contract_years_remaining,total_appearances,total_minutes_played,total_goals,total_assists,total_shots,total_shots_on_target,shot_accuracy,total_successful_dribbles,total_key_passes,avg_rating,career_span_years,total_yellow_cards,total_red_cards,games_per_season_avg,minutes_per_game_avg,passing_accuracy,total_tackles,total_interceptions,total_clearances,total_clean_sheets,total_saves,save_percentage,total_goals_conceded,total_injuries,total_days_out,avg_injury_duration,max_injury_duration,min_injury_duration,injury_types_list,most_recent_injury_date,days_since_last_injury,injury_frequency,had_knee_injury,had_hamstring_injury,had_acl_injury,had_surgery,injury_severity_score,games_missed_due_injury,currently_injured,sentiment_score,mentions_count,positive_ratio,negative_ratio,neutral_ratio,engagement_rate,fan_base_size,trending_score,controversy_flag,media_coverage_score,hashtag_mentions,retweet_avg,like_avg,market_value,peak_value,transfer_history_total,number_of_transfers,value_trend,goals_per_game,assists_per_game,goal_contribution,goal_contribution_per_game,minutes_per_goal,minutes_per_assist,discipline_score,experience_score,injury_risk_score,availability_score,recovery_rate,estimated_contract_value,is_at_peak,career_stage,value_appreciation_potential,sentiment_momentum,popularity_index,public_perception_score,controversy_impact,player_quality_score,market_attractiveness,value_for_money,age_group
PL0001,Lionel Messi,Argentina,RW,Inter Miami,37,1989-11-04,Both,2027-02-16,1,301,35820,192,102,822.0,652.0,39.41,475.0,358.0,7.45,10,60,2,30.1,119.0,85.91,634.0,738.0,1302.0,115.0,758.0,72.89,218.0,23,2293,99.7,175,25,"Groin Strain, Hip Injury, Hamstring Injury, Ligament Damage, Back Injury, Shoulder Injury, Fracture, ACL Injury, Calf Injury, Meniscus Tear, Achilles Injury",2025-03-03,350.0,2.3,0,1,1,1,6.28,364,0,0.255,18466,0.208,0.443,0.349,4.2,120905,35.2,1,7.83,4065,3668,9865,9.49,10.73,34.85,6,Declining,0.6378737541528239,0.3388704318936877,294,0.9767441860465116,185.59585492227978,347.7669902912621,2.0,16.02,10.0,0.0,4.154166666666667,7.60103790109421,0,Veteran,0.0,0.08976,10.521226219491531,0.35409999999999997,8.180438,33.712199999999996,32.6379393292373,321.3746425166825,34+
PL0002,Cristiano Ronaldo,Portugal,ST,Al Nassr,39,1987-05-08,Right,2028-02-16,2,398,22893,216,117,1288.0,577.0,37.97,690.0,245.0,7.29,10,68,2,39.8,57.5,85.91,634.0,738.0,1302.0,115.0,758.0,72.89,218.0,12,1383,115.2,178,19,"Groin Strain, Hip Injury, Ankle Injury, Concussion, Back Injury, Shoulder Injury, Knee Injury, Calf Injury, Meniscus Tear, Achilles Injury",2026-01-31,16.0,1.2,1,0,0,1,3.79,343,1,0.205,73316,0.189,0.488,0.323,10.0,1374990,28.9,1,2.81,9322,2899,10698,14.39,18.19,39.27,5,Declining,0.542713567839196,0.29396984924623115,333,0.8366834170854272,105.49769585253456,194.0084745762712,1.1999999999999993,17.96,9.19,13.819095477386938,8.861538461538462,23.051408935035973,0,Veteran,0.0,0.05924499999999999,22.965222958401828,0.2692,35.778208,36.05421909547739,54.09494398534144,234.27042947028846,34+
PL0003,Kevin De Bruyne,Belgium,CAM,Manchester City,33,1993-12-04,Right,2031-02-15,5,270,22388,82,82,1014.0,449.0,45.260000000000005,481.0,384.0,6.74,10,32,6,27.0,82.9,83.67,517.0,738.0,1302.0,115.0,758.0,72.89,218.0,19,1727,90.9,168,18,"Groin Strain, Hamstring Injury, Hip Injury, Meniscus Tear, Ligament Damage, Shoulder Injury, Knee Injury, ACL Injury, Calf Injury, Ankle Injury, Achilles Injury",2024-11-16,457.0,1.9,1,1,1,1,4.73,391,0,0.3,24130,0.297,0.449,0.253,6.78,147610,5.8,1,5.42,613,488,5102,16.85,20.84,29.25,3,Declining,0.3037037037037037,0.3037037037037037,164,0.6074074074074074,269.73493975903614,269.73493975903614,0.8000000000000007,15.4,10.0,0.0,4.545,67.4802363716741,0,Veteran,0.0,0.0174,20.525607788295293,0.37350000000000005,10.834370000000002,30.787000000000006,46.181911682442944,172.47619047619048,30-33
PL0004,Luka Modrić,Croatia,CM,Real Madrid,39,1987-10-14,Right,2027-02-16,1,276,18475,28,29,1014.0,449.0,45.260000000000005,275.0,636.0,6.65,10,77,2,27.6,66.9,85.92,612.0,738.0,1302.0,115.0,758.0,72.89,218.0,6,266,44.3,98,14,"Groin Strain, Muscle Injury, Fracture, ACL Injury, Achilles Injury",2023-12-04,805.0,0.6,0,0,1,1,0.73,65,0,0.258,7591,0.21,0.492,0.298,8.08,61186,67.1,1,2.99,2848,2924,12996,13.97,18.78,27.72,4,Declining,0.10144927536231885,0.10507246376811594,57,0.20652173913043478,637.0689655172414,615.8333333333334,0.3000000000000007,15.52,3.9299999999999997,76.44927536231884,6.328571428571428,11.189304476110234,0,Veteran,0.0,0.173118,18.62594641338165,0.2977,3.734772,45.58925507246377,62.87354715630437,304.53744203382615,34+
PL0005,Robert Lewandowski,Poland,ST,Barcelona,36,1990-02-07,Both,2028-02-16,2,176,35068,55,73,1186.0,221.0,37.2,213.0,194.0,6.64,10,20,4,17.6,199.2,85.91,634.0,738.0,1302.0,115.0,758.0,72.89,218.0,16,1893,118.3,180,7,"Groin Strain, Muscle Injury, Ligament Damage, Back Injury, Knee Injury, ACL Injury, Calf Injury",2024-11-17,456.0,1.6,1,0,1,1,5.19,408,0,0.223,63663,0.297,0.417,0.287,14.31,513606,91.8,1,5.07,9345,1801,19808,13.16,17.04,51.96,6,Declining,0.3125,0.4147727272727273,128,0.7272727272727273,626.2142857142857,473.8918918918919,4.0,13.52,10.0,0.0,6.958823529411765,21.081066128219135,0,Veteran,0.0,0.20471399999999998,35.29828411242872,0.3456,26.547470999999998,29.955199999999998,67.92502616864307,211.54802259887003,34+
PL0006,Kylian Mbappé,France,ST,Real Madrid,26,2000-10-01,Right,2031-02-15,5,243,35858,183,26,419.0,308.0,45.85,546.0,237.0,6.76,8,71,7,30.4,147.6,85.91,634.0,738.0,1302.0,115.0,758.0,72.89,218.0,10,746,74.6,178,19,"Groin Strain, Hamstring Injury, Ligament Damage, Fracture, Calf Injury, Ankle Injury, Achilles Injury",2024-12-18,425.0,1.0,0,1,0,1,2.04,119,0,0.382,82350,0.268,0.323,0.408,3.61,1156862,30.2,0,5.67,6593,237,14695,108.7,130.84,317.26,5,Stable,0.7530864197530864,0.10699588477366255,209,0.8600823045267489,194.8804347826087,1328.0740740740741,-4.1,12.86,4.04,51.028806584362144,6.781818181818181,435.3176079288412,1,Prime,0.0,0.11536400000000001,15.608776941814341,0.4253,0.0,40.66836131687243,55.66734607115772,37.07234395339328,26-29
PL0007,Erling Haaland,Norway,ST,Manchester City,24,2002-12-21,Left,2031-02-15,5,253,25372,114,86,716.0,449.0,36.12,473.0,276.0,6.44,6,15,1,42.2,100.3,85.91,634.0,738.0,1302.0,115.0,758.0,72.89,218.0,2,150,75.0,84,66,"Fracture, Concussion",2023-10-19,851.0,0.2,0,0,0,1,0.41,37,0,0.0,32031,0.061,0.613,0.326,12.06,428072,57.1,1,7.22,7784,4261,11911,106.58,117.56,25.63,1,Rising,0.4505928853754941,0.33992094861660077,200,0.7905138339920948,220.62608695652173,291.632183908046,7.5,11.059999999999999,0.81,85.37549407114625,25.0,426.8275129075979,0,Prime,10.302120472884223,0.0,0.0,0.1679,19.635003,45.38289881422926,41.07144940711463,42.1852563805812,22-25
PL0008,Neymar Jr,Brazil,LW,Al Hilal,32,1994-04-15,Left,2031-02-15,5,448,25023,56,90,1250.0,345.0,35.02,429.0,174.0,6.81,10,59,2,44.8,55.9,85.91,634.0,738.0,1302.0,115.0,758.0,72.89,218.0,17,1731,101.8,176,14,"Groin Strain, Hip Injury, Hamstring Injury, Muscle Injury, Back Injury, Knee Injury, Fracture, Calf Injury, Ankle Injury, Achilles Injury",2024-01-28,750.0,1.7,1,1,0,1,4.74,259,0,0.248,66637,0.192,0.525,0.283,12.33,1119726,61.6,1,1.21,3341,4110,3369,21.05,26.66,33.26,4,Declining,0.125,0.20089285714285715,146,0.32589285714285715,439.0,274.97802197802196,2.0999999999999996,18.96,8.14,42.1875,5.655555555555555,84.3002359420617,0,Experienced,0.0,0.152768,33.96352142364872,0.2639,34.984425,39.997299999999996,74.66393213547309,181.39365079365078,30-33
PL0009,Mohamed Salah,Egypt,RW,Liverpool,32,1994-01-25,Both,2028-02-16,2,350,36774,103,53,1187.0,315.0,44.84,312.0,379.0,6.58,10,46,5,35.0,105.1,85.91,634.0,738.0,1302.0,115.0,758.0,72.89,218.0,10,1021,102.1,163,48,"Groin Strain, Hip Injury, Meniscus Tear, Back Injury, ACL Injury, Ankle Injury, Achilles Injury",2025-04-09,313.0,1.0,0,0,1,1,2.8,224,0,0.312,69461,0.373,0.442,0.185,6.75,1336694,10.7,1,3.57,8141,2072,9109,29.28,34.7,43.48,4,Declining,0.29428571428571426,0.15142857142857144,156,0.44571428571428573,353.59615384615387,681.0,0.40000000000000036,17.0,6.8,36.0,9.281818181818181,46.90377023056659,0,Experienced,0.0,0.033384,23.478814961527547,0.38400000000000006,30.701762,37.688,60.46222244229132,124.46499339498018,30-33
PL0010,Vinícius Jr,Brazil,LW,Real Madrid,24,2002-07-11,Right,2029-02-15,3,209,35475,115,40,1138.0,286.0,52.91,819.0,304.0,6.72,6,77,5,34.8,169.7,85.91,634.0,738.0,1302.0,115.0,758.0,72.89,218.0,14,762,54.4,153,9,"Groin Strain, Hip Injury, Concussion, Ligament Damage, Knee Injury, Fracture, ACL Injury, Calf Injury, Meniscus Tear",2023-07-28,934.0,1.4,1,0,1,1,2.09,154,0,0.147,117446,0.154,0.5,0.345,4.77,2279159,23.4,1,4.96,9096,516,10868,92.94,126.23,220.79,4,Rising,0.5502392344497608,0.19138755980861244,155,0.7416267942583732,305.8189655172414,865.2439024390244,-2.6999999999999993,10.18,6.89,26.31578947368422,3.6266666666666665,223.32153715311776,0,Prime,35.81880783301055,0.034398,8.185511466395573,0.25460000000000005,58.723,34.688357894736846,35.84244614696179,36.92607823582802,22-25
